"athlete_number","athlete_relative_age","active_minutes","total_distance_m","max_speed_kph","session_load","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank"
1081,18,120,2033.39,19.83,181.9,25.6209150326797,28.2352941176471,20.9150326797386
1081,18,120,6834.16,24.26,743.23,88.562091503268,70.1307189542484,71.5032679738562
1081,18,120,5265.87,42.53,561.69,71.3725490196078,99.8692810457516,57.3856209150327
1081,18,120,6159.86,21.38,1103.83,82.156862745098,44.7712418300654,90.4575163398693
1081,18,120,476.8,10.53,30.91,10.9803921568627,11.8300653594771,6.01307189542484
1081,18,90,7385.87,25.7,1002.14,92.156862745098,82.5490196078431,86.1437908496732
2227,20,120,6491.61,22.45,741.44,88.110599078341,57.4193548387097,79.5391705069124
2227,20,105,5359.72,19.52,766.29,79.7235023041475,22.4884792626728,81.1059907834101
2227,20,110,2756.57,22.37,333.37,22.2119815668203,56.1290322580645,23.963133640553
2227,20,90,100.87,6.51,6.47,0.0921658986175115,0.737327188940092,0.276497695852535
2227,20,110,723.16,17.27,76.25,4.33179723502304,9.86175115207373,4.70046082949309
2227,20,90,3668.85,22.1,475.91,47.926267281106,52.1658986175115,51.4285714285714
2227,20,100,5422.53,22.8,669.02,80.8294930875576,61.8433179723502,73.8248847926267
2227,20,116,5364.42,24.07,798.08,79.9078341013825,77.4193548387097,82.8571428571429
2227,20,99,3911.98,21.83,394.24,54.1013824884793,48.0184331797235,35.668202764977
2227,20,91,2012.69,23.44,400.37,13.6405529953917,70.3225806451613,36.8663594470046
2227,20,80,3484.37,20.38,420.48,40.8294930875576,30.0460829493088,40.4608294930876
2227,20,90,824.75,19.16,116.17,5.71428571428571,19.0783410138249,7.00460829493088
2227,20,123,8095.3,20.82,1255.1,96.4976958525346,34.4700460829493,96.405529953917
2227,20,105,3482.31,22.31,447.83,40.6451612903226,55.2995391705069,45.9907834101382
2227,20,75,801.68,13.02,80.09,5.34562211981567,4.70046082949309,4.88479262672811
2227,20,78,4588.82,23.32,726.06,70.4147465437788,68.9400921658986,78.2488479262673
2227,20,100,2001.41,18.86,296.28,13.5483870967742,16.6820276497696,19.4470046082949
2227,20,110,4832.57,25.4,604.28,74.6543778801843,88.7557603686636,67.926267281106
2227,20,105,3272.9,21.29,409.85,34.7465437788018,40.6451612903226,38.4331797235023
2227,20,120,6774.86,20.83,968.07,90.3225806451613,34.8387096774194,90.2304147465438
2227,20,90,2763.17,21.83,448.06,22.4884792626728,48.0184331797235,46.1751152073733
2227,20,104,2318.14,23.84,355.05,16.1290322580645,75.2995391705069,28.3870967741935
2227,20,100,3852.53,21.28,441.55,52.9953917050691,40.4608294930876,44.7004608294931
2227,20,77,3471.07,22.7,378.83,40.184331797235,60.4608294930876,32.8110599078341
2227,20,100,2545.63,21.75,377.36,18.8018433179723,47.0967741935484,32.1658986175115
2227,20,110,5475.45,22.49,712.83,81.3824884792627,57.7880184331797,77.3271889400922
2227,20,110,2954.99,22.37,355.91,27.3732718894009,56.1290322580645,28.5714285714286
2227,20,90,3375.33,21.64,417,37.3271889400922,45.4377880184332,39.63133640553
2227,20,90,179.97,7.48,9.94,1.29032258064516,1.29032258064516,1.29032258064516
2227,20,90,1880.27,22.07,257.64,12.6267281105991,51.5207373271889,15.1152073732719
2227,20,110,4495.18,24.34,628.2,68.294930875576,80,70.1382488479263
2227,20,90,221.44,13.08,25.16,2.48847926267281,4.88479262672811,2.76497695852535
2227,20,70,4141.19,24.53,501.91,60,81.1981566820276,56.036866359447
2227,20,90,2030.76,20.61,249.37,13.8248847926267,32.073732718894,14.7465437788018
2227,20,90,3766.15,20.89,449.53,50.6912442396313,35.3917050691244,46.5437788018433
2227,20,90,4191.37,21,629.99,60.9216589861751,37.3271889400922,70.4147465437788
2227,20,90,4756.44,25.08,670.2,73.5483870967742,86.3594470046083,74.0092165898618
2227,20,90,1620.78,17.77,229.43,10.1382488479263,11.6129032258065,12.4423963133641
2227,20,90,4319.95,18.91,629.27,64.6082949308756,17.2350230414747,70.2304147465438
2227,20,90,3292.26,19.94,391.25,35.5760368663594,25.8064516129032,35.3917050691244
