"athlete_number","athlete_relative_age","w_total_distance","w_session_load","w_max_speed_kph","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","num_sessions"
28774,19,5694.92699404762,710.961636904762,22.0502083333333,80,35,45,21
28884,18,2186.52081163859,268.459387442573,15.2299387442573,6.89655172413793,6.89655172413793,10.3448275862069,30
32263,18,3543.60926208651,444.907659033079,20.2614503816794,37.9310344827586,34.4827586206897,27.5862068965517,30
36400,19,4922.81726190476,652.227053571429,22.5361607142857,25,60,35,21
36754,18,730.126076794658,70.1227045075125,9.69353923205342,0,0,0,30
36837,21,2621.26402150538,306.556811827957,16.5853172043011,0,0,0,11
37322,20,4928.68171944582,689.325611083622,24.3773305294409,87.0967741935484,96.7741935483871,77.4193548387097,32
38727,20,5721.16175971538,765.925837438424,22.7665325670498,96.7741935483871,77.4193548387097,96.7741935483871,32
40553,21,3404.62864985767,443.246933712891,20.040951606344,40,30,50,11
41100,19,5756.56363333333,806.553733333333,23.3407333333333,85,90,85,21
41837,20,2882.84910915935,306.38599749059,19.9797616060226,3.2258064516129,16.1290322580645,3.2258064516129,32
43549,19,5572.969,745.382633333333,22.3812333333333,55,55,65,21
44800,19,5109.16443396226,623.116100628931,19.6647798742138,30,25,30,21
44844,20,4355.45464968153,677.577587579618,23.5631369426752,67.741935483871,93.5483870967742,74.1935483870968,32
44846,20,3422.32317460318,454.487107583774,21.3339564961787,25.8064516129032,48.3870967741936,29.0322580645161,32
45048,19,5584.33613095238,787.686279761905,22.693869047619,60,70,80,21
45111,20,4559.91825040878,519.186458771315,21.2114038775987,70.9677419354839,45.1612903225806,51.6129032258064,32
45655,18,2420.5964946446,233.981879259981,18.4298052580331,10.3448275862069,10.3448275862069,6.89655172413793,30
45907,20,3738.59362152625,546.038211292457,22.5223180414645,48.3870967741936,70.9677419354839,54.8387096774194,32
47019,20,3094.04273903856,390.789743792921,20.0924775488642,9.67741935483871,19.3548387096774,12.9032258064516,32
47454,19,4303.85081560284,467.481134751773,19.3634397163121,20,20,20,21
48715,20,3317.16592017738,380.122492239468,19.1722793791574,19.3548387096774,9.67741935483871,9.67741935483871,32
49054,21,4016.03332354381,594.591282427802,23.133127753304,70,70,70,11
49372,18,4863.37186084142,800.85430420712,22.3347572815534,89.6551724137931,62.0689655172414,93.1034482758621,30
50466,21,2624.36219481736,368.811401810802,20.4721386200437,10,40,20,11
50638,18,4134.82928238583,608.202124883504,21.8645666356011,62.0689655172414,55.1724137931034,72.4137931034483,30
50852,19,5263.02622023809,670.813125,20.9333630952381,35,30,40,21
50870,18,3859.63795844625,551.258428184282,22.066820234869,51.7241379310345,58.6206896551724,44.8275862068966,30
53309,21,3310.72729100946,329.544992113565,18.7577050473186,30,10,10,11
54881,20,5274.52467122118,722.221972672929,21.3863727583262,93.5483870967742,54.8387096774194,87.0967741935484,32
55054,20,4814.68146435453,705.104065510597,21.3565655105973,83.8709677419355,51.6129032258064,83.8709677419355,32
55193,18,4532.56364715861,590.861306191688,20.9395419847328,72.4137931034483,41.3793103448276,62.0689655172414,30
56198,18,4771.91854166667,669.138261217949,22.9097195512821,86.2068965517241,75.8620689655172,82.7586206896552,30
56303,18,3415.37130634775,451.358877644894,19.2498436062557,31.0344827586207,20.6896551724138,31.0344827586207,30
57447,18,5062.56707416463,750.396617766911,22.6895354523227,96.551724137931,68.9655172413793,86.2068965517241,30
61902,18,3533.48964129484,537.335004374453,23.4526859142607,34.4827586206897,89.6551724137931,41.3793103448276,30
62096,19,3017.69339449541,374.870733944954,16.5376146788991,15,10,15,21
65648,20,3642.21,488.15,15.43,41.9354838709677,0,45.1612903225806,32
69466,21,4018.39814147742,698.045899243017,25.3668258940224,80,90,90,11
71346,19,5587.28893081761,713.315251572327,22.3054088050314,65,50,50,21
72086,20,4242.06774821173,597.780446351931,22.4484034334764,64.5161290322581,67.741935483871,67.741935483871,32
72116,18,4707.24157850546,626.630923593619,23.4305457598657,79.3103448275862,86.2068965517241,75.8620689655172,30
72139,18,4058.96478908189,580.552100909843,23.2188254755997,58.6206896551724,82.7586206896552,55.1724137931034,30
73322,19,5971.81893333333,845.5657,22.8717666666667,100,80,95,21
75462,19,5902.71113333333,818.8022,22.6552666666667,95,65,90,21
76391,18,2948.8696506986,382.756157684631,18.6995608782435,13.7931034482759,13.7931034482759,17.2413793103448,30
76958,20,4183.0684946714,565.151119005329,22.6678463587922,61.2903225806452,74.1935483870968,61.2903225806452,32
77373,18,3749.82756554307,590.418380149813,21.0183426966292,44.8275862068966,44.8275862068966,58.6206896551724,30
77669,20,5224.42279013962,735.881961169284,23.1503883071553,90.3225806451613,87.0967741935484,90.3225806451613,32
78554,18,4500.65570048309,593.581103059581,22.3675442834138,68.9655172413793,65.5172413793103,65.5172413793103,30
79189,19,1355.91396226415,153.96641509434,9.49245283018868,5,5,5,21
79413,20,3866.2618230563,691.561809651475,22.4360321715818,51.6129032258064,64.5161290322581,80.6451612903226,32
79421,20,3609.07489309211,453.28671875,20.2068667763158,38.7096774193548,25.8064516129032,25.8064516129032,32
80052,20,3261.20080613736,404.300703848027,20.7253482708232,16.1290322580645,32.258064516129,19.3548387096774,32
82566,20,3075.85129150253,393.535970737198,18.7459904333146,6.45161290322581,6.45161290322581,16.1290322580645,32
84651,20,4598.18102930492,563.43134657302,23.0277694356987,74.1935483870968,83.8709677419355,58.0645161290323,32
84978,19,5625.18082018927,728.435804416404,22.2690220820189,75,45,55,21
86632,20,3121.79969939037,349.11301030061,20.15278536893,12.9032258064516,22.5806451612903,6.45161290322581,32
87353,19,5594.39966666667,850.8361,23.1497,70,85,100,21
89246,21,4946.18803051318,815.012905686546,24.7763361072584,100,80,100,11
89568,18,3601.72587975243,521.419000884173,20.8104067197171,41.3793103448276,37.9310344827586,37.9310344827586,30
