athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
"1,018",18,Female,association_football,DI,120,"7,200",473.75,0,0,0,0,0.24,7.5,0,0,0,0,3.95,18.32,34.37
"1,018",18,Female,association_football,DI,120,"7,200",651.24,0,0,0,0,0.33,10.67,0,0,0,0,5.43,26.1,33.44
"1,018",18,Female,association_football,DI,120,"7,200",426.95,0,0,0,0,0.21,6.58,0,0,0,0,3.56,16.08,21.17
"1,018",18,Female,association_football,DI,120,"7,200",543.48,0,0,0,0,0.27,8.06,0,0,0,0,4.53,19.7,32.3
"1,018",18,Female,association_football,DI,90,"5,400",470.59,0,0,0,0,0.31,7.82,0,1,0,2.67,5.23,19.11,29.92
"1,018",18,Female,association_football,DI,90,"5,400","3,685.91",28.21,11.34,6,1,2.46,23.46,20,32,4.73,6.31,40.95,57.36,565.86
"1,018",18,Female,association_football,DI,90,"5,400","2,965.78",11.34,0,2,0,1.98,20.55,15,11,3.96,6.64,32.95,50.23,404.39
"1,018",18,Female,association_football,DI,120,"7,200",452.21,0,0,0,0,0.23,8.42,0,0,0,0,3.77,20.58,35.26
"1,018",18,Female,association_football,DI,120,"7,200",519.65,0,0,0,0,0.26,7.6,0,0,0,0,4.33,18.58,19.41
"1,018",18,Female,association_football,DI,90,"5,400","3,603",6.61,0,1,0,2.4,20.9,33,18,5.43,4.44,40.03,51.1,467.57
"1,018",18,Female,association_football,DI,90,"5,400","1,800.37",4.31,0,1,0,1.2,19.54,14,6,4.33,5.15,20,47.78,224.4
"1,018",18,Female,association_football,DI,90,"5,400","4,842.84",122.01,0,13,0,3.23,21.15,33,26,5.62,5.67,53.81,51.7,730.12
"1,081",18,Female,association_football,DI,90,"5,400","7,606.28",280.29,21.44,30,2,5.07,23.98,42,54,4.89,7.32,84.51,58.62,985.12
