athlete_number,athlete_relative_age,active_minutes,total_distance_m,max_speed_kph,session_load,total_dist_perc_rank,max_speed_perc_rank,session_load_perc_rank
6613,20,123,7420.91,20.99,1031.53,94.00921659,37.05069124,91.79723502
6613,20,120,6611.26,22.65,758.58,88.75576037,59.7235023,80.73732719
6613,20,90,115.86,5.91,4.93,0.460829493,0.368663594,0
6613,20,105,4213.3,21.32,546.62,61.65898618,41.19815668,61.84331797
6613,20,110,2664.84,21.57,342.65,20.73732719,44.42396313,26.359447
6613,20,90,4164.57,21.77,575.6,60.46082949,47.28110599,64.88479263
6613,20,90,2763.2,20.74,335.98,22.58064516,33.5483871,24.51612903
6613,20,100,5009.81,23.53,541.89,76.49769585,71.70506912,61.10599078
6613,20,116,4486.37,23.37,608.95,68.11059908,69.40092166,68.47926267
6613,20,99,3745.06,18.51,358.62,50.04608295,15.11520737,29.21658986
6613,20,91,5678.1,22.67,880.88,82.85714286,59.9078341,87.92626728
7181,20,110,4122.79,20.93,556.85,59.7235023,35.85253456,63.04147465
7181,20,90,3735.6,22.72,491.86,49.76958525,60.64516129,54.56221198
7181,20,90,4001.82,21.37,504.23,57.05069124,41.56682028,56.40552995
7181,20,90,112.45,6.6,7.56,0.368663594,0.829493088,0.64516129
7181,20,90,4400.96,22.54,798.02,66.5437788,58.43317972,82.76497696
7181,20,90,5437.66,26.07,987.32,80.92165899,93.0875576,90.87557604
7181,20,90,4311.92,24.03,699.82,64.51612903,77.05069124,75.94470046
7181,20,90,505.85,15.4,66.01,3.225806452,7.649769585,3.870967742
7181,20,90,4591.01,22.06,709.03,70.59907834,51.42857143,76.95852535
7181,20,90,6082.05,18.65,996.3,85.06912442,15.57603687,91.24423963
7181,20,110,6207.47,24.3,1102.89,86.17511521,79.8156682,93.73271889
7181,20,77,3829.42,23.88,459.9,52.44239631,75.76036866,48.84792627
7181,20,95,3608.37,21.36,444.52,45.16129032,41.47465438,45.16129032
7181,20,70,4336.73,23.62,578.81,65.16129032,72.81105991,65.25345622
7181,20,90,954.58,19.98,109.51,7.188940092,26.26728111,6.728110599
7181,20,120,5859.78,23.49,793.01,83.68663594,71.15207373,82.30414747
7181,20,105,2975.84,22.35,347.51,28.01843318,55.94470046,26.6359447
7181,20,110,4357.54,25.3,529.85,65.43778802,88.20276498,60
7181,20,78,4898.46,21.46,699.61,75.29953917,42.39631336,75.85253456
7181,20,75,931.9,12.69,105.55,6.912442396,4.055299539,6.6359447
7181,20,105,3265.87,21.44,419.77,34.65437788,42.11981567,40.1843318
7181,20,123,8146.36,22.53,1151.75,96.86635945,58.06451613,94.56221198
7181,20,90,3301.27,17.82,394.48,35.66820276,11.88940092,35.85253456
7181,20,90,1772.86,21.72,222.5,11.15207373,46.26728111,11.79723502
8588,18,100,628.23,13.64,47.86,14.44444444,15.62091503,13.20261438
8588,18,120,1930.2,18,342.99,24.37908497,19.86928105,35.03267974
8588,18,90,999.32,19.33,120.09,17.18954248,24.77124183,17.38562092
8588,18,120,4578.66,25.09,910.77,61.24183007,77.90849673,81.89542484
8588,18,120,5017.94,26.5,773.65,67.97385621,87.84313725,73.92156863
8588,18,120,177.34,6.41,15.56,0.784313725,2.156862745,1.568627451
8588,18,120,3182.61,21.17,455.41,40.32679739,42.2875817,46.8627451
8588,18,120,1268.31,18.22,217.94,18.88888889,20.45751634,24.11764706
8588,18,120,2576.7,18.54,391.55,32.15686275,21.24183007,39.47712418
8588,18,120,265.58,8.28,33.06,2.418300654,7.712418301,7.254901961
8588,18,120,2684.54,25.94,336.16,33.85620915,83.66013072,34.31372549
8588,18,120,5176.37,20.08,651.52,70.26143791,30.06535948,64.70588235
8588,18,120,5236.03,19.12,207.18,71.11111111,23.46405229,23.26797386
8588,18,120,3500.18,18.49,475.82,43.79084967,21.04575163,49.28104575
8588,18,90,832.25,12.49,78.28,15.88235294,13.85620915,15.75163399
8588,18,90,232.23,15.8,25.52,1.764705882,17.64705882,4.444444444
8588,18,120,3529.97,20.9,449.05,44.18300654,39.01960784,45.75163399
8588,18,120,5862.57,25.89,747.4,79.34640523,83.33333333,71.76470588
8588,18,120,4868,21.41,693.32,66.07843137,45.22875817,67.84313725
8588,18,90,3928.16,20.69,579.58,50.78431373,36.2745098,58.36601307
8588,18,90,4844.05,22.41,879.7,65.62091503,55.4248366,80
